#BLTrackFile test
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
5.25097 5.33946 0.304752 0 0 0 0.14409 13 42 1 0 1 
33.7378 20.1161 0.324471 0 0 0 0.138355 13 43 1 0 1 
-19.3121 8.75045 0.34308 0 0 0 0.135971 13 44 1 0 1 
2.3239 -9.54752 0.301216 0 0 0 0.143921 13 45 1 0 1 
33.7956 14.1447 0.359883 0 0 0 0.132258 13 46 1 0 1 
13.5381 -4.7938 0.31829 0 0 0 0.140072 13 47 1 0 1 
5.37203 -3.9602 0.347066 0 0 0 0.134919 13 48 1 0 1 
-20.5997 -13.1982 0.339274 0 0 0 0.138669 13 49 1 0 1 
37.9424 -0.977911 0.37259 0 0 0 0.131443 13 50 1 0 1 
-0.55782 1.3953 0.311821 0 0 0 0.143093 13 51 1 0 1 
-8.6024 26.3357 0.253439 0 0 0 0.150557 13 52 1 0 1 
-18.214 -9.42593 0.278821 0 0 0 0.149806 13 53 1 0 1 
11.7468 -6.58384 0.343857 0 0 0 0.136934 13 54 1 0 1 
17.9807 -10.9921 0.308514 0 0 0 0.140253 13 55 1 0 1 
3.94978 14.7188 0.335563 0 0 0 0.138387 13 56 1 0 1 
28.6833 21.2599 0.261611 0 0 0 0.155078 13 57 1 0 1 
7.84007 -33.6621 0.345856 0 0 0 0.137072 13 58 1 0 1 
8.8215 -1.77221 0.335449 0 0 0 0.135919 13 59 1 0 1 
-28.2247 16.9338 0.332615 0 0 0 0.137764 13 60 1 0 1 
-1.33258 -13.7797 0.320066 0 0 0 0.140117 13 61 1 0 1 
14.201 -27.9665 0.311946 0 0 0 0.14184 13 62 1 0 1 
9.28064 -5.94546 0.351136 0 0 0 0.134765 13 63 1 0 1 
10.6524 -16.3862 0.291982 0 0 0 0.145337 13 64 1 0 1 
14.1585 -1.0426 0.310519 0 0 0 0.14304 13 65 1 0 1 
15.9422 3.19195 0.350777 0 0 0 0.135616 13 66 1 0 1 
-4.36502 -2.84782 0.349178 0 0 0 0.135201 13 67 1 0 1 
8.52863 0.567667 0.360416 0 0 0 0.133906 13 68 1 0 1 
26.7744 11.5296 0.348106 0 0 0 0.1356 13 69 1 0 1 
1.06585 4.94381 0.344511 0 0 0 0.135441 13 70 1 0 1 
11.7287 33.958 0.326245 0 0 0 0.139286 13 71 1 0 1 
-3.3682 4.30535 0.298818 0 0 0 0.145717 13 72 1 0 1 
5.43314 4.03122 0.353375 0 0 0 0.133214 13 73 1 0 1 
-6.73444 9.18322 0.315671 0 0 0 0.141621 13 74 1 0 1 
5.87095 6.00385 0.282508 0 0 0 0.147569 13 75 1 0 1 
6.84218 2.24173 0.324253 0 0 0 0.139579 13 76 1 0 1 
-8.39883 19.3053 0.337226 0 0 0 0.136776 13 77 1 0 1 
0.477307 -10.5259 0.33825 0 0 0 0.136753 13 78 1 0 1 
-26.176 -0.298421 0.299748 0 0 0 0.144792 13 79 1 0 1 
19.2064 -2.30526 0.347001 0 0 0 0.135638 13 80 1 0 1 
-19.5847 16.8291 0.306324 0 0 0 0.135073 13 81 1 0 1 
-3.34973 -10.9826 0.35103 0 0 0 0.134506 13 82 1 0 1 
-3.97835 -2.41185 0.294657 0 0 0 0.14283 13 83 1 0 1 
22.144 9.79722 0.334252 0 0 0 0.136465 13 84 1 0 1 
-22.9053 14.9615 0.336663 0 0 0 0.138305 13 85 1 0 1 
-14.0428 7.27265 0.385157 0 0 0 0.130313 13 86 1 0 1 
-20.4363 19.8652 0.33962 0 0 0 0.138524 13 87 1 0 1 
7.07852 -15.9601 0.345615 0 0 0 0.13565 13 88 1 0 1 
-5.21934 5.08605 0.312552 0 0 0 0.142532 13 89 1 0 1 
8.90121 24.8413 0.391456 0 0 0 0.129177 13 90 1 0 1 
32.2788 -16.0759 0.316653 0 0 0 0.140979 13 91 1 0 1 
-12.2481 15.0057 0.315369 0 0 0 0.143034 13 92 1 0 1 
-13.9513 -2.31463 0.337481 0 0 0 0.137136 13 93 1 0 1 
14.6208 17.1941 0.30804 0 0 0 0.143683 13 94 1 0 1 
-4.91718 -63.5179 0.295053 0 0 0 0.145345 13 95 1 0 1 
-3.14565 -32.352 0.280054 0 0 0 0.148225 13 96 1 0 1 
-9.77948 3.32378 0.306192 0 0 0 0.143469 13 97 1 0 1 
-7.61652 -8.52281 0.300706 0 0 0 0.144887 13 98 1 0 1 
2.55495 -20.7887 0.357929 0 0 0 0.132752 13 99 1 0 1 
-5.36321 -11.7492 0.301787 0 0 0 0.144054 13 100 1 0 1 
-4.96277 14.1261 0.357163 0 0 0 0.135149 13 101 1 0 1 
20.4198 16.9269 0.311713 0 0 0 0.142923 13 102 1 0 1 
18.5697 -5.25635 0.296043 0 0 0 0.144907 13 103 1 0 1 
-12.1621 -3.31372 0.298298 0 0 0 0.14403 13 104 1 0 1 
4.1186 6.8868 0.329728 0 0 0 0.138372 13 105 1 0 1 
-11.7198 -3.21875 0.318654 0 0 0 0.140274 13 106 1 0 1 
22.2718 -6.6736 0.297722 0 0 0 0.143747 13 107 1 0 1 
-4.33108 24.0912 0.346808 0 0 0 0.135324 13 108 1 0 1 
-1.53507 -8.8277 0.337054 0 0 0 0.13622 13 109 1 0 1 
25.1654 -2.63279 0.268897 0 0 0 0.150472 13 110 1 0 1 
-2.21403 -12.8129 0.348338 0 0 0 0.134253 13 111 1 0 1 
-6.74025 3.13455 0.341376 0 0 0 0.137328 13 112 1 0 1 
19.6772 38.3052 0.337196 0 0 0 0.134216 13 113 1 0 1 
17.7906 6.5288 0.372482 0 0 0 0.133085 13 114 1 0 1 
7.23658 -2.01548 0.28766 0 0 0 0.148424 13 115 1 0 1 
-25.2079 4.52667 0.341401 0 0 0 0.134915 13 116 1 0 1 
-17.3038 -18.2281 0.315936 0 0 0 0.141038 13 117 1 0 1 
11.5718 3.90805 0.377339 0 0 0 0.131138 13 118 1 0 1 
9.63162 -9.75838 0.29534 0 0 0 0.144935 13 119 1 0 1 
10.094 -15.2185 0.320086 0 0 0 0.139232 13 120 1 0 1 
-12.7625 -18.8801 0.326468 0 0 0 0.138956 13 121 1 0 1 
9.60286 4.55878 0.352855 0 0 0 0.13471 13 122 1 0 1 
25.3742 -0.266713 0.35478 0 0 0 0.133263 13 123 1 0 1 
-29.337 -9.17367 0.30833 0 0 0 0.143392 13 124 1 0 1 
-0.788218 6.03911 0.327175 0 0 0 0.14058 13 125 1 0 1 
19.4286 2.80808 0.299642 0 0 0 0.143363 13 126 1 0 1 
-11.7127 0.412041 0.33165 0 0 0 0.137589 13 127 1 0 1 
-32.246 -6.32342 0.396897 0 0 0 0.129054 13 128 1 0 1 
2.54927 1.67342 0.302871 0 0 0 0.142189 13 129 1 0 1 
-2.90504 -12.6009 0.329083 0 0 0 0.13748 13 130 1 0 1 
-4.63576 -0.518424 0.34182 0 0 0 0.136558 13 131 1 0 1 
-14.6589 -11.7462 0.336027 0 0 0 0.139004 13 132 1 0 1 
6.39607 8.98937 0.358709 0 0 0 0.133329 13 133 1 0 1 
-3.30618 7.07949 0.288761 0 0 0 0.146478 13 134 1 0 1 
4.75185 9.23833 0.299834 0 0 0 0.14451 13 135 1 0 1 
-15.8353 -17.0105 0.35996 0 0 0 0.131703 13 136 1 0 1 
-0.918856 17.4484 0.339177 0 0 0 0.137806 13 137 1 0 1 
-0.434002 -5.7932 0.281871 0 0 0 0.147812 13 138 1 0 1 
